year,phase_id,phase_name
2014,1,Pool A
2014,2,Pool B
2014,3,Pool C
2014,4,Pool D
2014,5,Pool E
2014,6,Pool F
2014,7,Pool G
2014,8,Pool H - Final round
2014,9,Pool I - Final round
2014,10,Semifinals - Group 1
2014,11,Finals - Group 1
2014,12,Semifinals - Group 2
2014,13,Finals - Group 2
2014,14,Semifinals - Group 3
2014,15,Finals - Group 3
