year,phase_id,phase_name,match_id,teams,date,local_time,gmt_time,results,description_url,press_conference_url,dir_id,p3_url,p2_url
2012,1,Pool A,1,RUS-SRB,18/05/2012,15:40,06:30,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=1&No=34673,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=1&No=34674,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-001.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-001.pdf
2012,1,Pool A,2,JPN-CUB,18/05/2012,18:40,09:30,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=2&No=34675,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=2&No=34676,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-002.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-002.pdf
2012,1,Pool A,3,CUB-SRB,19/05/2012,13:10,04:00,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=3&No=34698,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=3&No=34700,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-003.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-003.pdf
2012,1,Pool A,4,JPN-RUS,19/05/2012,16:10,07:00,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=4&No=34704,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=4&No=34705,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-004.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-004.pdf
2012,1,Pool A,5,JPN-SRB,20/05/2012,13:10,04:00,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=5&No=34728,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=5&No=34729,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-005.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-005.pdf
2012,1,Pool A,6,CUB-RUS,20/05/2012,16:10,07:00,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=6&No=34732,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=6&No=34733,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-006.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-006.pdf
2012,1,Pool A,25,SRB-RUS,15/06/2012,17:00,21:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=25&No=35288,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=25&No=35291,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-025.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-025.pdf
2012,1,Pool A,26,CUB-JPN,15/06/2012,19:30,23:30,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=26&No=35293,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=26&No=35296,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-026.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-026.pdf
2012,1,Pool A,27,JPN-RUS,16/06/2012,17:00,21:00,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=27&No=35328,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=27&No=35331,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-027.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-027.pdf
2012,1,Pool A,28,SRB-CUB,16/06/2012,19:30,23:30,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=28&No=35334,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=28&No=35337,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-028.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-028.pdf
2012,1,Pool A,29,JPN-SRB,17/06/2012,14:30,18:30,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=29&No=35370,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=29&No=35373,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-029.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-029.pdf
2012,1,Pool A,30,CUB-RUS,17/06/2012,17:00,21:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=30&No=35376,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=30&No=35378,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-030.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-030.pdf
2012,1,Pool A,49,SRB-CUB,22/06/2012,16:40,13:30,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=49&No=35474,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=49&No=35481,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-049.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-049.pdf
2012,1,Pool A,50,RUS-JPN,22/06/2012,19:25,16:15,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=50&No=35491,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=50&No=35493,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-050.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-050.pdf
2012,1,Pool A,51,JPN-CUB,23/06/2012,16:40,13:30,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=51&No=35537,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=51&No=35539,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-051.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-051.pdf
2012,1,Pool A,52,RUS-SRB,23/06/2012,19:25,16:15,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=52&No=35551,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=52&No=35553,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-052.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-052.pdf
2012,1,Pool A,53,SRB-JPN,24/06/2012,16:40,13:30,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=53&No=35589,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=53&No=35591,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-053.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-053.pdf
2012,1,Pool A,54,CUB-RUS,24/06/2012,19:25,16:15,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=54&No=35599,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=54&No=35605,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-054.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-054.pdf
2012,1,Pool A,73,JPN-RUS,28/06/2012,15:10,15:00,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=73&No=35670,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=73&No=35671,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-073.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-073.pdf
2012,1,Pool A,74,SRB-CUB,28/06/2012,18:10,16:00,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=2&MatchNo=74&No=35673,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2012/viewMatchInfo.asp?Category=3&MatchNo=74&No=35674,WL2012,http://www.fivb.org/vis_web/volley/WL2012/pdf/P3-074.pdf,http://www.fivb.org/vis_web/volley/WL2012/pdf/P2-074.pdf
