year,phase_id,phase_name,match_id,teams,date,local_time,gmt_time,results,description_url,press_conference_url,dir_id,p3_url,p2_url
2014,1,Pool A,1,BRA-ITA,23/05/2014,14:45,17:45,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=1&No=45862,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=1&No=45866,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-001.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-001.pdf
2014,1,Pool A,2,BRA-ITA,24/05/2014,10:10,13:10,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=2&No=45882,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=2&No=45883,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-002.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-002.pdf
2014,1,Pool A,5,BRA-POL,29/05/2014,14:45,17:45,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=5&No=45980,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=5&No=45983,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-005.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-005.pdf
2014,1,Pool A,6,BRA-POL,30/05/2014,14:45,17:45,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=6&No=45998,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=6&No=45999,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-006.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-006.pdf
2014,1,Pool A,8,ITA-IRI,30/05/2014,20:30,18:30,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=8&No=46000,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=8&No=46002,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-008.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-008.pdf
2014,1,Pool A,9,ITA-IRI,01/06/2014,20:00,18:00,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=9&No=46055,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=9&No=46056,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-009.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-009.pdf
2014,1,Pool A,11,BRA-IRI,06/06/2014,10:00,13:00,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=11&No=46124,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=11&No=46128,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-011.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-011.pdf
2014,1,Pool A,12,ITA-POL,06/06/2014,20:30,18:30,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=12&No=46133,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=12&No=46136,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-012.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-012.pdf
2014,1,Pool A,14,BRA-IRI,07/06/2014,10:00,13:00,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=14&No=46157,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=14&No=46159,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-014.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-014.pdf
2014,1,Pool A,18,ITA-POL,08/06/2014,20:00,18:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=18&No=46194,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=18&No=46196,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-018.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-018.pdf
2014,1,Pool A,19,IRI-BRA,13/06/2014,21:00,16:30,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=19&No=46513,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=19&No=46513,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-019.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-019.pdf
2014,1,Pool A,21,POL-ITA,13/06/2014,19:30,17:30,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=21&No=46497,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=21&No=46501,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-021.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-021.pdf
2014,1,Pool A,25,IRI-BRA,15/06/2014,21:00,16:30,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=25&No=46584,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=25&No=46588,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-025.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-025.pdf
2014,1,Pool A,26,POL-ITA,15/06/2014,19:30,17:30,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=26&No=46585,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=26&No=46587,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-026.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-026.pdf
2014,1,Pool A,28,IRI-ITA,20/06/2014,18:30,14:00,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=28&No=46791,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=28&No=46794,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-028.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-028.pdf
2014,1,Pool A,29,POL-BRA,20/06/2014,19:30,17:30,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=29&No=46797,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=29&No=46802,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-029.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-029.pdf
2014,1,Pool A,33,IRI-ITA,22/06/2014,18:30,14:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=33&No=46847,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=33&No=46848,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-033.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-033.pdf
2014,1,Pool A,34,POL-BRA,22/06/2014,19:30,17:30,0-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=34&No=46852,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=34&No=46853,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-034.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-034.pdf
2014,1,Pool A,36,IRI-POL,27/06/2014,21:00,16:30,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=36&No=46925,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=36&No=46930,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-036.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-036.pdf
2014,1,Pool A,39,IRI-POL,29/06/2014,21:00,16:30,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=39&No=46991,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=39&No=46994,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-039.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-039.pdf
2014,1,Pool A,41,ITA-BRA,03/07/2014,20:00,18:00,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=41&No=47063,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=41&No=47064,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-041.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-041.pdf
2014,1,Pool A,43,POL-IRI,04/07/2014,20:15,18:15,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=43&No=47076,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=43&No=47079,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-043.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-043.pdf
2014,1,Pool A,45,POL-IRI,05/07/2014,20:15,18:15,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=2&MatchNo=45&No=47092,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2014/viewMatchInfo.asp?Category=3&MatchNo=45&No=47096,WL2014-1,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P3-045.pdf,http://www.fivb.org/vis_web/volley/WL2014-1/pdf/P2-045.pdf
