year,phase_id,phase_name,match_id,teams,date,local_time,gmt_time,results,description_url,press_conference_url,dir_id,p3_url,p2_url
2013,1,Pool A,49,BRA-FRA,28/06/2013,10:00,12:50,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=49&No=40439,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=49&No=40443,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-049.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-049.pdf
2013,1,Pool A,51,POL-ARG,28/06/2013,20:25,18:15,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=51&No=40460,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=51&No=40467,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-051.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-051.pdf
2013,1,Pool A,54,USA-BUL,28/06/2013,19:40,02:30,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=54&No=40486,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=54&No=40489,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-054.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-054.pdf
2013,1,Pool A,56,BRA-FRA,29/06/2013,10:10,13:00,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=56&No=40513,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=56&No=40520,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-056.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-056.pdf
2013,1,Pool A,60,USA-BUL,29/06/2013,19:40,02:30,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=60&No=40556,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=60&No=40558,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-060.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-060.pdf
2013,1,Pool A,64,POL-ARG,30/06/2013,20:25,18:15,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=64&No=40594,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=64&No=40601,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-064.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-064.pdf
2013,1,Pool A,67,BRA-BUL,05/07/2013,10:00,13:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=67&No=40840,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=67&No=40843,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-067.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-067.pdf
2013,1,Pool A,69,POL-USA,05/07/2013,20:25,18:15,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=69&No=40905,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=69&No=40911,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-069.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-069.pdf
2013,1,Pool A,71,ARG-FRA,06/07/2013,20:10,23:00,2-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=71&No=40978,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=71&No=40981,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-071.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-071.pdf
2013,1,Pool A,74,BRA-BUL,06/07/2013,10:10,13:10,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=74&No=40949,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=74&No=40952,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-074.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-074.pdf
2013,1,Pool A,81,POL-USA,07/07/2013,20:25,18:15,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=81&No=41014,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=81&No=41021,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-081.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-081.pdf
2013,1,Pool A,82,ARG-FRA,07/07/2013,20:00,23:00,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=82&No=41032,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=82&No=41033,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-082.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-082.pdf
2013,1,Pool A,85,BRA-USA,13/07/2013,10:00,12:50,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=85&No=41288,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=85&No=41291,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-085.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-085.pdf
2013,1,Pool A,86,BUL-POL,12/07/2013,20:08,17:00,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=86&No=41249,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=86&No=41250,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-086.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-086.pdf
2013,1,Pool A,87,BRA-USA,14/07/2013,09:45,12:35,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=87&No=41306,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=87&No=41309,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-087.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-087.pdf
2013,1,Pool A,88,BUL-POL,13/07/2013,21:10,18:00,3-2,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=88&No=41295,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=88&No=41298,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-088.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-088.pdf
2013,2,Pool B,7,RUS-IRI,07/06/2013,18:00,15:00,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=7&No=39463,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=7&No=39464,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-007.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-007.pdf
2013,2,Pool B,10,ITA-GER,07/06/2013,20:30,18:30,3-0,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=10&No=39467,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=10&No=39468,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-010.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-010.pdf
2013,2,Pool B,13,CUB-SRB,07/06/2013,20:50,00:40,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=13&No=39474,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=13&No=39476,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-013.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-013.pdf
2013,2,Pool B,15,RUS-IRI,08/06/2013,18:10,15:00,3-1,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=15&No=39487,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=15&No=39489,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-015.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-015.pdf
2013,2,Pool B,19,CUB-SRB,08/06/2013,20:50,00:40,1-3,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=2&MatchNo=19&No=39498,http://www.fivb.org/EN/volleyball/competitions/WorldLeague/2013/viewMatchInfo.asp?Category=3&MatchNo=19&No=39499,WL2013,http://www.fivb.org/vis_web/volley/WL2013/pdf/P3-019.pdf,http://www.fivb.org/vis_web/volley/WL2013/pdf/P2-019.pdf
